iter	Passed	Remaining
417	2573	3583
418	2580	3577
419	2586	3571
420	2592	3565
421	2598	3559
422	2604	3553
423	2611	3547
424	2616	3540
425	2622	3533
426	2629	3528
427	2635	3521
428	2641	3516
429	2647	3510
430	2653	3503
431	2659	3497
432	2665	3490
433	2671	3484
434	2678	3478
435	2683	3471
436	2689	3465
437	2695	3459
438	2702	3453
439	2708	3447
440	2714	3440
441	2720	3435
442	2726	3428
443	2732	3421
444	2738	3415
445	2745	3409
446	2750	3403
447	2756	3396
448	2762	3390
449	2769	3385
450	2775	3379
451	2782	3373
452	2788	3366
453	2794	3360
454	2800	3353
455	2805	3347
456	2811	3340
457	2817	3334
458	2823	3328
459	2829	3321
460	2835	3314
461	2841	3308
462	2847	3302
463	2853	3295
464	2859	3289
465	2864	3282
466	2870	3276
467	2876	3270
468	2883	3264
469	2888	3257
470	2894	3251
471	2900	3245
472	2906	3238
473	2912	3232
474	2919	3226
475	2925	3220
476	2931	3213
477	2937	3207
478	2942	3200
479	2949	3194
480	2955	3188
481	2961	3182
482	2967	3175
483	2973	3169
484	2979	3163
485	2985	3157
486	2990	3150
487	2997	3144
488	3002	3138
489	3009	3131
490	3015	3125
491	3021	3120
492	3028	3114
493	3033	3107
494	3039	3101
495	3046	3096
496	3053	3090
497	3059	3084
498	3065	3077
499	3070	3070
500	3076	3064
501	3083	3058
502	3088	3051
503	3094	3045
504	3100	3039
505	3106	3032
506	3112	3026
507	3118	3020
508	3124	3014
509	3131	3008
510	3136	3001
511	3142	2995
512	3148	2988
513	3154	2982
514	3161	2976
515	3166	2970
516	3173	2964
517	3179	2958
518	3185	2952
519	3191	2945
520	3197	2939
521	3203	2933
522	3209	2926
523	3214	2920
524	3221	2914
525	3226	2907
526	3233	2901
527	3239	2895
528	3245	2889
529	3250	2882
530	3256	2876
531	3262	2870
532	3269	2864
533	3274	2857
534	3280	2851
535	3286	2845
536	3292	2838
537	3298	2832
538	3304	2826
539	3310	2820
540	3316	2813
541	3322	2807
542	3328	2801
543	3334	2794
544	3340	2789
545	3346	2782
546	3352	2776
547	3358	2770
548	3365	2764
549	3370	2757
550	3376	2751
551	3382	2745
552	3388	2738
553	3394	2732
554	3401	2727
555	3406	2720
556	3413	2714
557	3418	2708
558	3424	2701
559	3430	2695
560	3437	2690
561	3443	2683
562	3449	2677
563	3455	2671
564	3462	2665
565	3468	2659
566	3474	2653
567	3481	2647
568	3487	2641
569	3493	2635
570	3499	2629
571	3505	2622
572	3511	2616
573	3517	2610
574	3523	2603
575	3528	2597
576	3535	2591
577	3541	2585
578	3547	2579
579	3553	2573
580	3559	2567
581	3565	2560
582	3573	2555
583	3578	2549
584	3585	2543
585	3591	2537
586	3597	2531
587	3603	2525
588	3610	2519
589	3616	2513
590	3622	2506
591	3628	2500
592	3634	2494
593	3640	2488
594	3646	2482
595	3652	2475
596	3658	2469
597	3665	2463
598	3671	2457
599	3677	2451
600	3684	2446
601	3690	2440
602	3696	2433
603	3703	2427
604	3708	2421
605	3715	2415
606	3721	2409
607	3727	2403
608	3734	2397
609	3739	2391
610	3745	2384
611	3752	2378
612	3758	2372
613	3764	2366
614	3771	2360
615	3777	2354
616	3783	2348
617	3789	2342
618	3796	2336
619	3801	2330
620	3808	2324
621	3815	2318
622	3821	2312
623	3827	2306
624	3833	2299
625	3839	2293
626	3845	2287
627	3851	2281
628	3858	2275
629	3864	2269
630	3870	2263
631	3876	2257
632	3882	2251
633	3888	2245
634	3894	2238
635	3900	2232
636	3906	2226
637	3912	2220
638	3918	2213
639	3924	2207
640	3930	2201
641	3936	2195
642	3942	2188
643	3948	2182
644	3954	2176
645	3960	2170
646	3966	2164
647	3972	2157
648	3978	2151
649	3984	2145
650	3990	2139
651	3997	2133
652	4003	2127
653	4009	2121
654	4015	2115
655	4022	2109
656	4027	2102
657	4033	2096
658	4040	2090
659	4046	2084
660	4052	2078
661	4059	2072
662	4064	2066
663	4070	2059
664	4076	2053
665	4082	2047
666	4088	2041
667	4094	2035
668	4100	2028
669	4106	2022
670	4112	2016
671	4118	2010
672	4124	2004
673	4130	1997
674	4136	1991
675	4142	1985
676	4148	1979
677	4153	1972
678	4159	1966
679	4166	1960
680	4171	1954
681	4178	1948
682	4184	1942
683	4190	1936
684	4197	1930
685	4203	1923
686	4209	1917
687	4215	1911
688	4222	1905
689	4228	1899
690	4234	1893
691	4240	1887
692	4246	1881
693	4252	1874
694	4258	1868
695	4264	1862
696	4271	1856
697	4277	1850
698	4283	1844
699	4289	1838
700	4296	1832
701	4302	1826
702	4308	1820
703	4314	1814
704	4320	1807
705	4326	1801
706	4333	1795
707	4339	1789
708	4346	1783
709	4352	1777
710	4358	1771
711	4364	1765
712	4370	1759
713	4376	1753
714	4383	1747
715	4389	1741
716	4395	1734
717	4401	1728
718	4407	1722
719	4413	1716
720	4419	1710
721	4425	1704
722	4432	1698
723	4438	1692
724	4445	1686
725	4451	1680
726	4458	1674
727	4464	1668
728	4470	1661
729	4476	1655
730	4483	1649
731	4489	1643
732	4495	1637
733	4501	1631
734	4507	1625
735	4514	1619
736	4520	1613
737	4526	1606
738	4532	1600
739	4538	1594
740	4544	1588
741	4550	1582
742	4556	1575
743	4562	1569
744	4568	1563
745	4574	1557
746	4580	1551
747	4586	1545
748	4593	1539
749	4599	1533
750	4605	1526
751	4611	1520
752	4617	1514
753	4623	1508
754	4630	1502
755	4636	1496
756	4642	1490
757	4649	1484
758	4654	1478
759	4660	1471
760	4666	1465
761	4672	1459
762	4678	1453
763	4684	1447
764	4691	1441
765	4697	1434
766	4703	1428
767	4709	1422
768	4715	1416
769	4721	1410
770	4727	1404
771	4733	1397
772	4739	1391
773	4745	1385
774	4751	1379
775	4757	1373
776	4763	1367
777	4770	1361
778	4776	1355
779	4783	1349
780	4789	1343
781	4795	1336
782	4801	1330
783	4807	1324
784	4813	1318
785	4819	1312
786	4825	1305
787	4831	1299
788	4837	1293
789	4844	1287
790	4849	1281
791	4856	1275
792	4862	1269
793	4868	1263
794	4874	1256
795	4880	1250
796	4886	1244
797	4892	1238
798	4898	1232
799	4904	1226
800	4910	1220
801	4916	1213
802	4922	1207
803	4928	1201
804	4935	1195
805	4941	1189
806	4948	1183
807	4954	1177
808	4960	1171
809	4966	1165
810	4972	1158
811	4979	1152
812	4985	1146
813	4990	1140
814	4997	1134
