iter	Logloss
0	0.6310317914
1	0.5804639427
2	0.5373971251
3	0.5034109645
4	0.4745065144
5	0.4500728416
6	0.4245245516
7	0.4064516967
8	0.3911249176
9	0.3795175722
10	0.3688856507
11	0.3599459345
12	0.35219663
13	0.3461079841
14	0.3400930088
15	0.3351931958
16	0.3292687342
17	0.3247916264
18	0.3213593365
19	0.3172522126
20	0.3138701156
21	0.3108805052
22	0.3077241745
23	0.3022184505
24	0.3001070333
25	0.2979272955
26	0.2936584931
27	0.2918924638
28	0.2844163234
29	0.2829046242
30	0.2813603134
31	0.2801260524
32	0.2790290492
33	0.2780157254
34	0.2770873269
35	0.2759054655
36	0.2748721475
37	0.2736676241
38	0.2726786674
39	0.271782702
40	0.270778809
41	0.2698731476
42	0.2683093711
43	0.2675176439
44	0.2667625797
45	0.2658704903
46	0.2651272327
47	0.2634769258
48	0.2624570816
49	0.2619230882
50	0.2613144551
51	0.2607906174
52	0.260262305
53	0.2592688624
54	0.2574223667
55	0.2569018334
56	0.2563714031
57	0.2558904668
58	0.2554974057
59	0.2551157471
60	0.2545979432
61	0.2541926671
62	0.2538006846
63	0.2534022302
64	0.2529877245
65	0.2525593785
66	0.2520599409
67	0.2516431673
68	0.2513196911
69	0.2509941052
70	0.250651151
71	0.2494847083
72	0.2491749024
73	0.2486658046
74	0.2482891511
75	0.2478816537
76	0.2475106766
77	0.2471868905
78	0.246860064
79	0.2465366182
80	0.2462865632
81	0.246011821
82	0.2456827762
83	0.2452208868
84	0.2450000597
85	0.2447124049
86	0.2443097015
87	0.2440488738
88	0.2437365492
89	0.2434842611
90	0.2431219706
91	0.242896978
92	0.2426433443
93	0.2422803389
94	0.2419633716
95	0.2417677511
96	0.2414963461
97	0.2412872692
98	0.2408110842
99	0.2406457097
100	0.2403387914
101	0.2401552292
102	0.2399686169
103	0.2397685906
104	0.239550236
105	0.2393003561
106	0.2390539908
107	0.238860113
108	0.2386982711
109	0.2385335621
110	0.2383022194
111	0.2380869387
112	0.2378633599
113	0.2377369747
114	0.2375189219
115	0.2373310831
116	0.2370498393
117	0.236839796
118	0.2366516224
119	0.2364869568
120	0.2363515683
121	0.2361832051
122	0.2355681032
123	0.2354417393
124	0.2353183662
125	0.2351976773
126	0.2345833376
127	0.2343494566
128	0.2342019612
129	0.2340819381
130	0.2336707174
131	0.2334828991
132	0.2332634148
133	0.2329581235
134	0.232816013
135	0.2327016344
136	0.2325579609
137	0.2324055327
138	0.2322364366
139	0.2319569671
140	0.231825369
141	0.2316432883
142	0.2315064725
143	0.231384205
144	0.2312433335
145	0.2310814722
146	0.2309637474
147	0.2308194531
148	0.2306279705
149	0.230499415
150	0.2303553779
151	0.2302790796
152	0.2300783892
153	0.2299608701
154	0.2298493581
155	0.2297526495
156	0.2296139464
157	0.2294961623
158	0.2290746998
159	0.2289801154
160	0.2288486492
161	0.2287506128
162	0.2286252208
163	0.228461485
164	0.2283513718
165	0.2282484306
166	0.2281427864
167	0.2279681631
168	0.2278774832
169	0.227740027
170	0.2275120659
171	0.2273748871
172	0.2272746268
173	0.2271903067
174	0.2271053406
175	0.2270221742
176	0.2269023461
177	0.2267871355
178	0.2266468405
179	0.2265784051
180	0.2264288823
181	0.2263136717
182	0.2261667401
183	0.2260654178
184	0.2259155111
185	0.2255692559
186	0.2254631648
187	0.2253685079
188	0.2252294717
189	0.2250985108
190	0.2250165352
191	0.2249211884
192	0.2248244855
193	0.224736356
194	0.2246410519
195	0.224545203
196	0.2243633495
197	0.2242719539
198	0.2241423886
199	0.2240207048
200	0.2239189586
201	0.2238140643
202	0.2237019928
203	0.2235822035
204	0.2234934316
205	0.2233777271
206	0.2232975791
207	0.2232188097
208	0.2229998042
209	0.2229104116
210	0.222820423
211	0.2227059066
212	0.2226100522
213	0.2225121511
214	0.2224380112
215	0.2223116594
216	0.2221977647
217	0.222124261
218	0.2220512389
219	0.221965897
220	0.2218648525
221	0.2217483544
222	0.2216591707
223	0.2215709586
224	0.2212238963
225	0.2211230567
226	0.2209852953
227	0.2208568993
228	0.220767005
229	0.2206518461
230	0.220502007
231	0.2204044803
232	0.2203068665
233	0.2202063244
234	0.2200726645
235	0.2199697756
236	0.2198892937
237	0.2197732065
238	0.2196568724
239	0.2194757563
240	0.2193792303
241	0.2192858233
242	0.2192140946
243	0.2191322435
244	0.2190162169
245	0.2189366277
246	0.2188452668
247	0.2187449241
248	0.2186451843
249	0.2185793941
250	0.2185037533
251	0.2183589867
252	0.2182140338
253	0.2180623721
254	0.2179691106
255	0.2178883356
256	0.217787749
257	0.2177050368
258	0.2176260653
259	0.217552029
260	0.2174834279
261	0.217398594
262	0.2173167771
263	0.2172387138
264	0.2171510916
265	0.2170710311
266	0.2169792043
267	0.2168768244
268	0.2167896726
269	0.2167149096
270	0.2166064977
271	0.216501525
272	0.2164172708
273	0.2162951234
274	0.2162127337
275	0.2161373191
276	0.2160599898
277	0.2159763059
278	0.2159006323
279	0.2158472604
280	0.2157514454
281	0.2156572978
282	0.2155813954
283	0.215504583
284	0.2154091418
285	0.2153341615
286	0.2152411742
287	0.2151596802
288	0.2150923085
289	0.215017344
290	0.2149479348
291	0.2148883282
292	0.2148119502
293	0.2147475235
294	0.2146528404
295	0.2145693526
296	0.2144831886
297	0.2144293469
298	0.2143321264
299	0.214260909
300	0.2141774372
301	0.2140908457
302	0.2140294473
303	0.2139491528
304	0.2138774216
305	0.2138224044
306	0.2137734477
307	0.2136148218
308	0.2135488993
309	0.2134377049
310	0.2133575425
311	0.2132597336
312	0.2131805518
313	0.2131175923
314	0.2130422852
315	0.2129811275
316	0.2128987921
317	0.2128444941
318	0.2127925427
319	0.2127005335
320	0.2125079942
321	0.2124019699
322	0.2123275019
323	0.2122322711
324	0.2121762878
325	0.2121078274
326	0.2120560798
327	0.2118059735
328	0.2117020809
329	0.2116303933
330	0.2115519411
331	0.2114884297
332	0.2114298014
333	0.2113548658
334	0.2112813658
335	0.2111976196
336	0.2111343365
337	0.2110439945
338	0.2109929402
339	0.2103692112
340	0.2103075217
341	0.2101016842
342	0.2100220823
343	0.2099426826
344	0.2098652112
345	0.2098154743
